trip_id,arrival_time,departure_time,stop_id,stop_sequence
10106110,6:00:00,6:00:00,0100MOM,1
10106110,6:05:00,6:05:00,0100LIK,2
10106110,6:10:00,6:10:00,0100CHL,3
10106110,6:15:00,6:15:00,0100VIN,4
10106110,6:20:00,6:20:00,0100NJT,5
10106110,6:25:00,6:25:00,0100SHT,6
10106110,6:30:00,6:30:00,0110TVM,7
10106110,6:35:00,6:35:00,0100KSS,8
10106110,6:40:00,6:40:00,0100MIS,9
10106110,6:45:00,6:45:00,0100LSM,10
10106110,6:50:00,6:50:00,0100TTM,11
10106110,6:55:00,6:55:00,0100NAM,12
10106110,7:00:00,7:00:00,0110WAM,13
10106110,7:05:00,7:05:00,0100GUG,14
10106110,7:10:00,7:10:00,0100PEF,15
10106110,7:15:00,7:15:00,0110GTH,16
10106110,7:20:00,7:20:00,0100VEV,17
10106110,7:25:00,7:25:00,0110PBS,18
10106110,7:30:00,7:30:00,0100RBJ,19
10106110,7:35:00,7:35:00,0100DPA,20
10106110,7:40:00,7:40:00,0100MRC,21
10106110,7:45:00,7:45:00,0100RRP,22
10106110,7:50:00,7:50:00,0100RES,23
10106110,7:55:00,7:55:00,0100RKH,24
10106110,8:00:00,8:00:00,0110VMT,25
10106110,8:05:00,8:05:00,0100RRJ,26
10106110,8:10:00,8:10:00,0110UNA,27
10106110,8:15:00,8:15:00,0110R/B,28
10106110,8:20:00,8:20:00,0110MTS,29
10106110,8:25:00,8:25:00,0100TCP,30
10106110,8:30:00,8:30:00,0110TPA,31
10106110,8:35:00,8:35:00,0110AGK,32
10106110,8:40:00,8:40:00,0110NGR,33
10106110,8:45:00,8:45:00,0102KHJ,34
10106111,6:00:00,6:00:00,0102KHJ,1
10106111,6:05:00,6:05:00,0101NGR,2
10106111,6:10:00,6:10:00,0101JHS,3
10106111,6:15:00,6:15:00,0101STP,4
10106111,6:20:00,6:20:00,0111SPS,5
10106111,6:25:00,6:25:00,0101WBR,6
10106111,6:30:00,6:30:00,0101AGA,7
10106111,6:35:00,6:35:00,0111OLB,8
10106111,6:40:00,6:40:00,0101CPK,9
10106111,6:45:00,6:45:00,0111RHK,10
10106111,6:50:00,6:50:00,0111GIM,11
10106111,6:55:00,6:55:00,0111BEK,12
10106111,7:00:00,7:00:00,0111TUN,13
10106111,7:05:00,7:05:00,0111RHR,14
10106111,7:10:00,7:10:00,0111VMA,15
10106111,7:15:00,7:15:00,0111KRU,16
10106111,7:20:00,7:20:00,0101REE,17
10106111,7:25:00,7:25:00,0101ROR,18
10106111,7:30:00,7:30:00,0101ROK,19
10106111,7:35:00,7:35:00,0101SHR,20
10106111,7:40:00,7:40:00,0101DPB,21
10106111,7:45:00,7:45:00,0101RKJ,22
10106111,7:50:00,7:50:00,0101CAV,23
10106111,7:55:00,7:55:00,0111KEA,24
10106111,8:00:00,8:00:00,0101MUC,25
10106111,8:05:00,8:05:00,0101GOG,26
10106111,8:10:00,8:10:00,0111JEK,27
10106111,8:15:00,8:15:00,0101NTO,28
10106111,8:20:00,8:20:00,0101MCC,29
10106111,8:25:00,8:25:00,0101LSC,30
10106111,8:30:00,8:30:00,0101MIC,31
10106111,8:35:00,8:35:00,0101MDS,32
10106111,8:40:00,8:40:00,0111KIV,33
10106111,8:45:00,8:45:00,0101SHT,34
10106111,8:50:00,8:50:00,0101NJK,35
10106111,8:55:00,8:55:00,0101KAT,36
10106111,9:00:00,9:00:00,0101VRY,37
10106111,9:05:00,9:05:00,0101ZAK,38
10106111,9:10:00,9:10:00,0101LIK,39
10106111,9:15:00,9:15:00,0101MOM,40
10106111,9:20:00,9:20:00,0101MKB,41
10106111,9:25:00,9:25:00,0101KOB,42
10106111,9:30:00,9:30:00,0113BAA,43
10107110,6:00:00,6:00:00,0110KRS,1
10107110,6:05:00,6:05:00,0110REU,2
10107110,6:10:00,6:10:00,0100VDA,3
10107110,6:15:00,6:15:00,0100NDT,4
10107110,6:20:00,6:20:00,0110NGP,5
10107110,6:25:00,6:25:00,0110NSG,6
10107110,6:30:00,6:30:00,0100NKD,7
